id,usuario,conjunto de palabras
SP000000,Luis,La tortuga sabia enseno a los demas animales que la paciencia ayuda a llegar lejos
SP000001,Juan,Un pez dorado nado feliz en el lago claro mientras saludaba a sus amigos
SP000002,Jose,El perro pequeno corrio junto a su dueno y jugo con una pelota azul bajo el sol
SP000003,Mario,El pajarito canto suave en la manana y lleno el aire con sonidos alegres
SP000004,Pablo,La nina leyo un cuento bonito y aprendio que ayudar a otros siempre trae alegria al corazon
SP000005,Diego,La tortuga sabia enseno a los demas animales que la paciencia ayuda a llegar lejos
SP000006,Leo,Un pez dorado nado feliz en el lago claro mientras saludaba a sus amigos
SP000007,Alex,La gatita blanca encontro un lugar tranquilo donde dormir y sonar con aventuras bonitas
SP000008,Tania,El pequeno raton encontro un queso grande y lo compartio con sus nuevos amigos
SP000009,Eva,El amigo fiel compartio su comida y mostro que la amistad hace los dias mejores
SP000010,Sara,La familia camino junta por el parque y disfruto de una tarde llena de risas
SP000011,Laura,El nino ayudo a recoger los juguetes y dejo su habitacion limpia y ordenada
SP000012,Rosa,El perro pequeno corrio junto a su dueno y jugo con una pelota azul bajo el sol
SP000013,Sofia,Un osito curioso camino por el bosque y encontro una estrella brillante que iluminaba su noche
SP000014,Maria,La nina sonrio contenta al ver que su dibujo estaba lleno de colores bonitos
SP000015,Luis,El pequeno raton encontro un queso grande y lo compartio con sus nuevos amigos
SP000016,Juan,El pequeno raton encontro un queso grande y lo compartio con sus nuevos amigos
SP000017,Jose,Un pez dorado nado feliz en el lago claro mientras saludaba a sus amigos
SP000018,Mario,El pequeno raton encontro un queso grande y lo compartio con sus nuevos amigos
SP000019,Pablo,Un pez dorado nado feliz en el lago claro mientras saludaba a sus amigos
SP000020,Diego,Un osito curioso camino por el bosque y encontro una estrella brillante que iluminaba su noche
SP000021,Leo,El nino ayudo a recoger los juguetes y dejo su habitacion limpia y ordenada
SP000022,Alex,La tortuga sabia enseno a los demas animales que la paciencia ayuda a llegar lejos
SP000023,Tania,Un osito curioso camino por el bosque y encontro una estrella brillante que iluminaba su noche
SP000024,Eva,La nina sonrio contenta al ver que su dibujo estaba lleno de colores bonitos
SP000025,Sara,El pequeno conejo salto feliz por el campo verde mientras buscaba flores para su mejor amiga
SP000026,Laura,Un pez dorado nado feliz en el lago claro mientras saludaba a sus amigos
SP000027,Rosa,Un pez dorado nado feliz en el lago claro mientras saludaba a sus amigos
SP000028,Sofia,La nina leyo un cuento bonito y aprendio que ayudar a otros siempre trae alegria al corazon
SP000029,Maria,La tortuga sabia enseno a los demas animales que la paciencia ayuda a llegar lejos
SP000030,Luis,El nino ayudo a recoger los juguetes y dejo su habitacion limpia y ordenada
SP000031,Juan,El pequeno raton encontro un queso grande y lo compartio con sus nuevos amigos
SP000032,Jose,La familia camino junta por el parque y disfruto de una tarde llena de risas
SP000033,Mario,El pequeno conejo salto feliz por el campo verde mientras buscaba flores para su mejor amiga
SP000034,Pablo,El cachorro jugo con la pelota roja y corrio feliz por todo el jardin
SP000035,Diego,La nina sonrio contenta al ver que su dibujo estaba lleno de colores bonitos
SP000036,Leo,El pequeno conejo salto feliz por el campo verde mientras buscaba flores para su mejor amiga
